ID;Titre;Catégorie;Secteurs;Menace;DIC;ISO27001;DORA;NIS2;Impact;Scénario;Mesures
R-AIA-11;Non-conformité à l'EU AI Act;IA;Tous;Sanction;C;N/A;N/A;Gouvernance;5;L'entreprise déploie un système d'IA interdit ou à haut risque sans l'audit réglementaire requis.;Classification des systèmes d'IA selon la matrice de risque AI Act.
R-AIA-12;Fuite de secrets via les logs d'IA;IA;Développement;Exfiltration;C;A.8.15;Art. 10;Gestion logs;3;Les prompts contenant des mots de passe sont enregistrés en clair dans les journaux d'audit de l'IA.;Anonymisation automatique des logs (Data Masking).
R-AIA-13;Obsolescence rapide des modèles IA;IA;Tous;Inefficacité;I;N/A;N/A;Gestion actifs;2;Le modèle utilisé devient moins performant car les données du monde réel ont évolué (Model Drift).;Monitoring de la performance et ré-entraînement périodique.
R-AIA-14;Shadow AI par détournement d'API;IA;Développement;Utilisation illicite;D;A.8.2;Art. 9;Contrôle accès;3;Un employé utilise sa clé d'API pro pour des projets personnels, consommant tout le quota.;Surveillance de la consommation d'API et clés nominatives.
R-AIA-15;Deepfake utilisé pour contourner la biométrie;IA;Finance;Usurpation;C;A.9.2;Art. 9;Contrôle accès;5;Une injection vidéo de type Deepfake trompe le système de reconnaissance faciale 'Know Your Customer'.;Détection de vivant (Liveness detection) multi-spectrale.
R-AIA-16;Contamination des résultats par IA générative (Feedback Loop);IA;Tous;Perte de qualité;I;N/A;N/A;Intégrité;2;Les IA futures sont entraînées sur du contenu produit par IA, dégradant la fiabilité des informations.;Marquage des contenus produits par IA (Watermarking).
R-AIA-17;Manque de transparence (Boîte noire);IA;Finance, Santé;Défaut d'audit;I;N/A;Art. 10;Responsabilisation;3;Incapacité d'expliquer pourquoi l'IA a refusé un crédit ou un diagnostic, violant le droit à l'explication.;Privilégier les modèles d'IA explicables (XAI).
R-AIA-18;Fuite de 'System Prompt';IA;Tous;Ingénierie sociale;C;N/A;N/A;Protection info;2;Un attaquant force l'IA à révéler ses instructions de base, révélant les limites et faiblesses du système.;Tests d'intrusion spécifiques aux LLM (Red Teaming).
R-AIA-19;Infection via plugin/extension IA;IA;Tous;Malware;DIC;A.8.28;Art. 28;Accès tiers;4;Une extension tierce installée dans le navigateur pour 'aider' l'IA vole les cookies de session.;Restriction des extensions autorisées sur les postes de travail.
R-AIA-20;Consommation énergétique excessive (Risque ESG);IA;Tous;Impact financier;D;N/A;N/A;Gouvernance;2;Le coût énergétique des calculs IA impacte la rentabilité et les rapports de durabilité de l'entreprise.;Optimisation des requêtes et choix de modèles frugaux.
R-HOS-01;Indisponibilité du Dossier Patient Informatisé (DPI);Santé;Santé;Ransomware / Panne;D;A.5.30;N/A;Continuité des soins;5;Un ransomware bloque l'accès aux dossiers médicaux, forçant l'arrêt des admissions et opérations.;Backups immuables et mode dégradé papier testé.
R-HOS-02;Piratage de dispositif médical connecté (IoMT);Santé;Santé;Sabotage / Malware;I;A.8.20;N/A;Sécurité des dispositifs;5;Un attaquant modifie les seuils d'une pompe à insuline ou d'un moniteur cardiaque via le Wi-Fi.;Segmentation VLAN dédiée aux dispositifs médicaux (réseau ISO-MED).
R-HOS-03;Exfiltration de données de santé (Données Sensibles);Données;Santé;Vol de données;C;A.8.11;N/A;Protection données;5;La base de données des patients est revendue sur le Darkweb, violant gravement le RGPD.;Chiffrement de la base et détection d'exfiltration (DLP).
R-HOS-04;Accès illégitime au dossier d'une personnalité;Santé;Santé;Curiosité interne;C;A.8.2;N/A;Contrôle d'accès;3;Un soignant consulte le dossier médical d'une célébrité sans être impliqué dans les soins.;Journalisation stricte des consultations et alertes sur accès atypiques.
R-HOS-05;Interruption des systèmes de monitorage centralisé;Santé;Santé;Panne réseau;D;A.8.20;N/A;Sécurité réseaux;5;Le serveur central de surveillance des constantes ne reçoit plus les alertes des chambres.;Redondance des commutateurs réseau et monitoring 24/7.
R-HOS-06;Usurpation d'identité pour prescription;Santé;Santé;Fraude;I;A.9.2;N/A;Responsabilisation;4;Un individu utilise une session restée ouverte pour prescrire des stupéfiants.;Verrouillage automatique des sessions et badges de déconnexion rapide.
R-HOS-07;Dysfonctionnement du système de transport pneumatique;Santé;Santé;Sabotage physique;D;A.7.2;N/A;Sécurité installations;3;Le réseau de transport des prélèvements sanguins est bloqué, retardant les résultats d'urgence.;Maintenance préventive et surveillance vidéo des points d'accès.
R-HOS-08;Contamination par un prestataire de maintenance biomédicale;Supply Chain;Santé;Rebond attaque;DIC;A.5.22;N/A;Accès tiers;4;Un technicien externe branche un PC infecté sur le scanner/IRM pour maintenance.;Utilisation de stations blanches et contrôle des accès externes.
R-HOS-09;Perte de traçabilité des dispositifs stérilisés;Santé;Santé;Erreur de données;I;N/A;N/A;Sécurité des soins;4;Une corruption de la base de données empêche de savoir si les instruments chirurgicaux ont été stérilisés.;Doublage de la traçabilité (numérique + indicateur physique).
R-HOS-10;Retard de mise à jour sur des équipements critiques (IRM/Scan);Santé;Santé;Obsolescence;DIC;A.8.8;N/A;Gestion vulnérabilités;4;Le constructeur refuse de patcher une console d'imagerie tournant sous Windows 7.;Isolation réseau stricte et filtrage via pare-feu applicatif.
R-HOS-11;Panne du système d'appel malade;Physique;Santé;Panne technique;D;A.7.5;N/A;Continuité;4;Les patients ne peuvent plus appeler les soignants en cas de détresse suite à un crash serveur IP.;Système d'appel autonome de secours (radio ou filaire simple).
R-HOS-12;Détournement de la télémédecine (Vidéo-consultation);Santé;Santé;Espionnage;C;A.5.37;N/A;Confidentialité;3;Une faille dans l'application de télémédecine permet d'intercepter des consultations privées.;Utilisation de solutions certifiées HDS (Hébergeur de Données de Santé).
R-HOS-13;Saturation du réseau Wi-Fi par les patients;Opérations;Santé;Déni de service;D;A.8.20;N/A;Performance;3;Le Wi-Fi utilisé par les tablettes de soins est paralysé par le streaming des patients.;Séparation physique ou logique (QoS) entre Wi-Fi Public et Wi-Fi Médical.
R-HOS-14;Erreur d'identification patient (Identitovigilance);Données;Santé;Erreur humaine;I;N/A;N/A;Sécurité des soins;5;Une erreur dans le système informatique fusionne deux dossiers patients (homonymes).;Processus d'identitovigilance avec vérification par bracelet QR Code.
R-HOS-15;Vol de serveurs ou de NAS dans des locaux isolés;Physique;Santé;Vol physique;C;A.7.2;N/A;Sécurité installations;4;Un serveur de stockage d'images médicales est volé dans une antenne déportée de l'hôpital.;Chiffrement des disques au repos et locaux sécurisés par badge.
R-HOS-16;Indisponibilité du système de gestion de la pharmacie;Santé;Santé;Panne;D;N/A;N/A;Continuité;4;Le robot de délivrance des médicaments est en panne, bloquant la distribution dans les services.;Stock d'urgence décentralisé et procédure manuelle de délivrance.
R-HOS-17;Exposition de données via la recherche clinique;Données;Santé;Fuite de données;C;A.8.11;N/A;Recherche;3;Des données non anonymisées sont partagées avec un laboratoire partenaire par erreur.;Anonymisation ou pseudonymisation automatique des exports de recherche.
R-HOS-18;Phishing ciblé sur le personnel administratif;RH;Santé;Fraude virement;I;6.3;N/A;Sensibilisation;3;Un agent RH modifie les coordonnées bancaires d'un médecin suite à un mail frauduleux.;Formation spécifique à la fraude au virement pour les services financiers.
R-HOS-19;Dépendance au Cloud pour des services vitaux;Supply Chain;Santé;Rupture de service;D;A.5.21;N/A;Souveraineté;4;Le service cloud hébergeant la reconnaissance vocale médicale tombe, ralentissant les comptes-rendus.;Option de secours locale (Offline) pour la saisie des comptes-rendus.
R-HOS-20;Sabotage des systèmes de gestion technique (GTC/GTB);Physique;Santé;Sabotage;D;A.7.5;N/A;Sécurité bâtiment;5;Un pirate coupe la ventilation ou l'alimentation électrique du bloc opératoire via le réseau IP.;Isolation du réseau GTC du réseau IT et contrôle d'accès physique.
R-LEG-01;Non-conformité majeure au RGPD;Juridique;Tous;Sanction;C;A.5.31;N/A;Protection données;5;Une plainte conduit à une amende de 4% du CA mondial suite à une absence de registre des traitements.;Désignation d'un DPO et tenue du registre des traitements.
R-LEG-02;Sanction pour non-respect de NIS2;Juridique;Tous;Sanction;DIC;A.5.31;N/A;Gouvernance;5;L'autorité nationale (ANSSI) impose une amende record pour défaut de mesures de sécurité essentielles.;Audit de conformité NIS2 et roadmap de remédiation.
R-LEG-03;Violation des licences logicielles (Audit);Juridique;Tous;Litige financier;C;A.5.32;N/A;N/A;3;Un éditeur logiciel réclame des pénalités massives pour utilisation de licences non déclarées.;Gestion des actifs logiciels (SAM) et inventaire régulier.
R-LEG-04;Défaut de notification d'incident majeur;Juridique;Finance, Santé;Sanction;C;A.5.24;Art. 19;Gestion incidents;4;L'entreprise cache une fuite de données et manque le délai légal de notification (72h).;Procédure de gestion d'incident incluant le volet juridique.
R-LEG-05;Nullité du contrat d'assurance Cyber;Juridique;Tous;Perte financière;D;A.5.21;N/A;Gestion des risques;5;L'assureur refuse d'indemniser un sinistre car les mesures de sécurité déclarées n'étaient pas en place.;Audit annuel des clauses de l'assurance cyber.
R-LEG-06;Contentieux avec un employé (Preuves numériques);Juridique;Tous;Litige;I;A.8.15;N/A;N/A;2;Impossibilité de licencier un fraudeur car les logs de connexion ont été altérés ou supprimés.;Logs protégés en écriture et certifiés.
R-LEG-07;Violation de la souveraineté des données;Juridique;Secteur Public;Saisie étrangère;C;A.5.37;N/A;Souveraineté;4;Des données sensibles sont stockées hors UE, exposant le client à une saisie via le Cloud Act.;Hébergement sur Cloud Souverain (SecNumCloud).
R-CRI-01;Incapacité à communiquer en cas de crise;Crise;Tous;Défaut de réponse;D;A.5.30;Art. 14;Gestion de crise;5;Le serveur mail étant coupé par un ransomware, la cellule de crise ne peut plus se coordonner.;Outil de communication d'urgence hors réseau interne (Signal, Telegram pro).
R-CRI-02;Saturation du service client (Panique);Crise;Finance, Santé;Image;D;N/A;Art. 14;Communication;3;Une panne déclenche un afflux d'appels gérant la panique des utilisateurs, bloquant les lignes d'urgence.;"Script de communication de crise pré-établi et site ""fantôme"" prêt."
R-CRI-03;Décès ou incapacité d'un expert clé;Crise;Industrie, Énergie;Perte de savoir;D;6.1;N/A;N/A;4;Le seul administrateur connaissant le mot de passe maître est indisponible lors d'un incident.;Gestion des secrets partagés et documentation des procédures critiques.
R-CRI-04;Espace de repli indisponible;Crise;Tous;Incapacité travail;D;A.5.30;Art. 11;Continuité;3;Le siège est inaccessible et aucune solution de télétravail ou de site de repli n'a été testée.;Contrat de site de repli ou généralisation du télétravail sécurisé.
R-CRI-05;Indisponibilité des numéros d'urgence prestataires;Crise;Tous;Retard réponse;D;A.5.21;Art. 14;Gestion incidents;2;En pleine nuit, personne ne trouve le numéro d'urgence du fournisseur d'électricité.;Annuaire de crise physique et numérique (hors ligne).
R-HUM-01;Burn-out de l'équipe sécurité (SOC/CERT);RH;Tous;Erreur humaine;DIC;N/A;N/A;Ressources humaines;4;La fatigue extrême suite à une gestion de crise entraîne une erreur de configuration critique.;Rotation des équipes et soutien psychologique après incident.
R-HUM-02;Ingénierie sociale par téléphone (Vishing);RH;Finance;Fraude;C;6.3;Art. 13;Sensibilisation;3;Un pirate se fait passer pour le support IT et obtient le mot de passe d'un utilisateur par téléphone.;Procédure de vérification d'identité pour le support IT.
R-HUM-03;Sabotage par un administrateur mécontent;RH;Tous;Sabotage;DIC;A.5.10;N/A;Contrôle d'accès;5;Un administrateur système sur le départ supprime volontairement les backups.;Double validation (Four-eyes principle) pour les actions critiques.
R-HUM-04;Utilisation du matériel pro à des fins illégales;RH;Secteur Public;Responsabilité;C;A.5.1;N/A;Hygiène informatique;2;Un employé stocke du contenu illégal sur le serveur de l'entreprise, engageant la responsabilité du DG.;Charte informatique signée et filtrage de contenu.
R-HUM-05;Espionnage industriel par un stagiaire/prestataire;RH;Industrie;Vol de PI;C;A.5.10;N/A;N/A;4;Un collaborateur externe copie les plans d'un nouveau produit sur une montre connectée.;Accès restreint aux zones R&D et signature de NDA.
R-TEC-01;Collision de certificats cryptographiques;Technique;Technologie;Faille globale;C;A.8.24;N/A;Sécurité réseaux;4;L'utilisation d'un algorithme de chiffrement obsolète permet d'intercepter les communications.;Migration vers des algorithmes post-quantiques ou AES-256.
R-TEC-02;Bruit électromagnétique (Tempest);Technique;Défense, Énergie;Interception;C;A.7.1;N/A;Sécurité physique;4;Un attaquant capte les émanations du matériel pour reconstituer les données traitées.;Blindage des locaux critiques (Cage de Faraday).
R-TEC-03;Défaut de synchronisation temporelle (NTP);Technique;Finance, Industrie;Erreur de log;I;A.8.17;Art. 10;Traçabilité;3;Le décalage de l'heure entre les serveurs empêche la corrélation des logs lors d'un audit.;Synchronisation sur une source de temps fiable et authentifiée.
R-EXT-01;Changement de réglementation soudain;Juridique;Tous;Défaut de conformité;C;A.5.31;N/A;Gouvernance;3;Une nouvelle loi impose des contrôles non prévus, rendant l'activité illégale du jour au lendemain.;Veille juridique active et agile.
R-EXT-02;Conflit armé ou instabilité géopolitique;Crise;Énergie, Industrie;Destruction;D;N/A;N/A;Continuité;5;Un conflit entraîne le blocage des approvisionnements ou la destruction d'infrastructures.;Diversification géographique des infrastructures critiques.
R-EXT-03;Pandémie ou crise sanitaire majeure;Crise;Tous;Absentéisme;D;N/A;Art. 11;Continuité;4;L'absence de 50% du personnel paralyse les fonctions support et sécurité.;Plan de continuité d'activité (PCA) spécifique aux pandémies.
R-EXT-04;Catastrophe naturelle (Séisme, Tornade);Crise;Tous;Destruction;D;A.7.5;Art. 11;Continuité;5;Un séisme détruit le centre de données principal.;Réplication de données sur une zone géographique distincte (>100km).
R-EXT-05;Activisme ou défaçage idéologique;Crise;Secteur Public;Atteinte image;I;N/A;N/A;Communication;2;Un groupe de hacktivistes remplace la page d'accueil du site par un message politique.;Filtrage WAF et monitoring d'intégrité des fichiers web.
R-LEG-08;Inopposabilité des Conditions Générales (CGU);Juridique;Tous;Perte juridique;C;N/A;N/A;N/A;2;Le client ne peut pas faire valoir ses limites de responsabilité car les CGU sont mal rédigées.;Validation des CGU/CGV par un cabinet spécialisé en droit IT.
R-LEG-09;Requalification de sous-traitant en responsable conjoint;Juridique;Tous;Responsabilité;C;N/A;N/A;Protection données;3;L'absence d'accord clair sur le traitement des données partage la responsabilité des amendes.;Convention de responsabilité conjointe (Art. 26 RGPD).
R-LEG-10;Exportation illégale de technologies (EAR/ITAR);Juridique;Technologie;Sanction;C;N/A;N/A;N/A;4;L'entreprise vend un logiciel de chiffrement à un pays sous embargo sans licence.;Contrôle des exportations et conformité douanière.
R-CRI-06;Erreur de manipulation durant le rétablissement;Crise;Tous;Sur-accident;D;A.5.30;Art. 11;Gestion incidents;4;Dans la précipitation du redémarrage, une commande malheureuse supprime la dernière sauvegarde saine.;"Procédures de restauration validées ""à froid"" et check-lists."
R-TEC-04;Dérive des horloges (Clock Drift) sur automates;OT;Industrie;Désynchronisation;I;N/A;N/A;Sécurité OT;3;Les automates industriels se décalent, provoquant des erreurs de mélange chimique.;Serveur de temps industriel (PTP/NTP) redondant.
R-HUM-06;"Accès indu par un ""Pretexting"" réussi";RH;Tous;Intrusion;C;6.3;Art. 13;Sensibilisation;3;Un pirate se fait passer pour un auditeur externe pour se faire ouvrir les portes du bâtiment.;Processus formel de vérification des prestataires à l'accueil.
R-TEC-05;Fragmentation excessive des logs (Data Silos);Opérations;Tous;Incapacité détection;C;A.8.15;Art. 10;Détection;3;Les logs sont éparpillés sur 50 consoles différentes, empêchant de voir une attaque transverse.;Centralisation dans un Data Lake sécurité.
R-IAM-01;Comptes orphelins (utilisateurs sortis);IAM;Tous;Utilisation illicite;C;A.5.10;Art. 9;Contrôle accès;4;Un ancien prestataire utilise son compte non désactivé pour exfiltrer des données stratégiques.;Synchronisation RH/AD automatique pour désactivation immédiate.
R-IAM-02;Fatigue MFA (MFA Push Spamming);IAM;Tous;Contournement;C;A.9.2;Art. 9;Hygiène informatique;4;Un utilisateur finit par valider une notification MFA frauduleuse après avoir reçu 50 demandes d'un attaquant.;"Mise en place du ""Number Matching"" (saisie du code affiché à l'écran)."
R-IAM-03;Droits excessifs par héritage (Privilege Creep);IAM;Finance, Santé;Élévation privilèges;C;A.8.2;Art. 9;Moindre privilège;3;Un employé change de poste 3 fois mais cumule tous ses anciens droits d'accès au fil du temps.;Revue d'accès périodique et suppression des droits lors du changement de poste.
R-IAM-04;Utilisation de protocoles d'authentification obsolètes;IAM;Tous;Interception;C;A.8.24;Art. 9;Sécurité réseaux;3;Un attaquant intercepte des mots de passe transitant via des protocoles non chiffrés (PAP, Telnet, HTTP).;Désactivation de l'authentification héritée (Legacy Auth) et forçage du TLS.
R-IAM-05;Compte de service avec mot de passe statique;IAM;Industrie;Accès persistant;C;A.8.2;Art. 9;Gestion des actifs;5;Un script contient en clair le mot de passe d'un compte admin qui n'expire jamais.;Utilisation de comptes de service gérés (gMSA) ou coffres-forts d'identités.
R-IAM-06;Accès administrateur sans MFA;IAM;Tous;Compromission totale;DIC;A.8.2;Art. 9;Hygiène informatique;5;"Le compte de l'administrateur Cloud est piraté car il était le seul exempté de MFA par ""confort"".";"Politique ""MFA for all"" sans exception pour les comptes à privilèges."
R-IAM-07;Shadow IAM (Droits créés hors process);IAM;Technologie;Contournement;C;A.5.18;Art. 9;Gouvernance;3;"Un technicien crée un compte administrateur local ""de secours"" qui n'est pas audité.";Audit régulier des membres des groupes à hauts privilèges (Domain Admins).
R-IAM-08;Incohérence des identités entre On-premise et Cloud;IAM;Tous;Faille de synchro;DIC;A.8.2;Art. 9;Gestion identités;3;Un utilisateur désactivé dans l'AD local reste actif sur les applications Cloud synchronisées.;Monitoring des erreurs de synchronisation (Azure AD Connect, etc.).
R-IAM-09;Clés d'API et jetons (Tokens) longue durée;IAM;Développement;Exfiltration;C;A.8.25;Art. 9;Protection TIC;4;Un jeton d'accès volé reste valide pendant 1 an, permettant un accès permanent sans mot de passe.;Mise en place de jetons à courte durée de vie et rotation automatique.
R-IAM-10;Attaque de type 'Golden Ticket' (Kerberos);IAM;Tous;Prise de contrôle;DIC;N/A;N/A;Sécurité réseaux;5;Un attaquant compromet le compte KRBTGT et peut générer des accès illimités à n'importe quel actif.;Rotation régulière du mot de passe KRBTGT et surveillance des requêtes Kerberos.
R-IAM-11;Auto-approbation de droits (Défaut de ségrégation);IAM;Finance;Fraude;I;A.5.3;Art. 9;Séparation tâches;4;Un utilisateur a les droits pour créer un fournisseur ET valider les paiements dans l'ERP.;Matrice de séparation des tâches (SoD) et workflow de double approbation.
R-IAM-12;Comptes invités (B2B) non supervisés;IAM;Tous;Fuite de données;C;A.5.22;Art. 28;Accès tiers;3;Des centaines de comptes de partenaires externes ont toujours accès au SharePoint après la fin du projet.;Revue automatique des accès invités (Access Reviews).
R-IAM-13;Stockage des mots de passe en clair (Base de données);IAM;Développement;Exfiltration;C;A.8.11;N/A;Protection données;5;Une fuite de la base utilisateur révèle tous les mots de passe car ils ne sont pas hashés.;Hachage fort avec sel (Argon2, bcrypt).
R-IAM-14;Contournement de la biométrie (Photo/Masque);IAM;Tous;Usurpation;C;A.9.2;Art. 9;Contrôle accès;4;Une simple photo permet de déverrouiller un smartphone pro accédant aux mails.;Imposer du matériel avec détection de profondeur/vivacité.
R-IAM-15;Accès conditionnel mal configuré;IAM;Tous;Accès non autorisé;C;A.8.20;Art. 9;Prévention;3;Le filtrage IP est trop large, permettant des connexions depuis des zones géographiques à risque.;Configuration géo-bloquante et analyse des signaux de risque (Identity Protection).
R-IAM-16;Session persistante sur poste partagé;IAM;Santé;Curiosité;C;A.7.2;N/A;Hygiène informatique;2;Un médecin laisse sa session ouverte en salle de soins, un patient accède aux dossiers.;Utilisation de lecteurs de cartes de proximité pour verrouillage/déverrouillage automatique.
R-IAM-17;Usurpation d'identité par SMS Swapping;IAM;Finance;Contournement MFA;C;6.3;Art. 13;Hygiène informatique;4;Un pirate détourne le numéro de téléphone pour recevoir le code MFA par SMS.;Privilégier les applications d'authentification ou clés FIDO2 au SMS.
R-IAM-18;Absence d'historique des changements de droits;IAM;Secteur Public;Défaut de preuve;I;A.8.15;Art. 10;Traçabilité;3;"Impossible de savoir qui a accordé les droits de ""Directeur"" à un agent administratif.";Journalisation centralisée de toutes les modifications d'annuaire.
R-IAM-19;Droits d'administration par défaut sur les postes;IAM;Tous;Propagation malware;DIC;A.8.2;Art. 9;Hygiène informatique;4;Tous les utilisateurs sont admins de leur poste, facilitant l'installation de logiciels malveillants.;Retrait des droits admin locaux (LAPS) et usage de comptes standards.
R-IAM-20;Défaut de gouvernance des identités machines (IoT);IAM;Industrie;Sabotage;DIC;A.8.1;N/A;Gestion identités;4;Des capteurs se connectent au réseau avec des identifiants identiques et codés en dur.;Certificats machine uniques et authentification 802.1X.
